state,year,quater,total_amount,query,transacion_type,yearly_amount
karnataka,2020,1.0,353402054999.39777,Query 1,,
karnataka,2020,2.0,321104877020.13794,Query 1,,
karnataka,2020,3.0,470740515696.6817,Query 1,,
karnataka,2020,4.0,658036698565.0183,Query 1,,
karnataka,2021,1.0,754995357412.3933,Query 1,,
karnataka,2021,2.0,837887151230.0494,Query 1,,
karnataka,2021,3.0,1133234739157.5894,Query 1,,
karnataka,2021,4.0,1375471324349.8735,Query 1,,
karnataka,2022,1.0,1566649488305.8816,Query 1,,
karnataka,2022,2.0,1867146114059.2336,Query 1,,
karnataka,2022,3.0,1665918232611.024,Query 1,,
karnataka,2022,4.0,1904516622907.6438,Query 1,,
karnataka,2023,1.0,2470227226317.0,Query 1,,
karnataka,2023,2.0,2777599098830.0,Query 1,,
karnataka,2023,3.0,2985880895587.0,Query 1,,
karnataka,2023,4.0,3241376424383.0,Query 1,,
karnataka,2024,1.0,3485248654506.0,Query 1,,
karnataka,2024,2.0,3785034703438.0,Query 1,,
karnataka,2024,3.0,3907202566484.0,Query 1,,
karnataka,2024,4.0,4151819803822.0,Query 1,,
kerala,2018,1.0,2402674753.100505,Query 1,,
kerala,2018,2.0,3886923343.442624,Query 1,,
kerala,2018,3.0,5323025223.875456,Query 1,,
kerala,2018,4.0,7747361236.812409,Query 1,,
kerala,2019,1.0,10235031134.84968,Query 1,,
kerala,2019,2.0,13031371561.185545,Query 1,,
kerala,2019,3.0,16429809722.064484,Query 1,,
kerala,2019,4.0,21151326637.80475,Query 1,,
kerala,2020,1.0,26451084830.934254,Query 1,,
kerala,2020,2.0,25894078478.600193,Query 1,,
kerala,2020,3.0,40164150651.95419,Query 1,,
kerala,2020,4.0,56755256647.01139,Query 1,,
kerala,2021,1.0,69260970161.8946,Query 1,,
kerala,2021,2.0,74226806436.15651,Query 1,,
kerala,2021,3.0,101686161773.12961,Query 1,,
kerala,2021,4.0,123342136943.36371,Query 1,,
kerala,2022,1.0,139988942464.6941,Query 1,,
kerala,2022,2.0,154696329549.12445,Query 1,,
